City,Country,Edition,Sport,Discipline,Athlete,NOC,Country,Gender,Event,Event_gender,Medal
Paris,France,1900,Aquatics,Water polo,"LISTER, William",GBR,United Kingdom,Men,water polo,Men,Gold
Paris,France,1900,Aquatics,Water polo,"ROBERTSON, Arthur",GBR,United Kingdom,Men,water polo,Men,Gold
Paris,France,1900,Aquatics,Water polo,"ROBINSON, Eric",GBR,United Kingdom,Men,water polo,Men,Gold
Paris,France,1900,Aquatics,Water polo,"WILKINSON, George",GBR,United Kingdom,Men,water polo,Men,Gold
Paris,France,1900,Aquatics,Water polo,"COHEN, Henri",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Aquatics,Water polo,"DE BACKER, Jean",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Aquatics,Water polo,"DE BEHR, Victor",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Aquatics,Water polo,"FEYAERTS, Fernand",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Aquatics,Water polo,"GREGOIRE, Oscar",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Aquatics,Water polo,"MICHANT, Albert",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Aquatics,Water polo,"SONNEMANS, Victor",BEL,Belgium,Men,water polo,Men,Silver
Paris,France,1900,Archery,Archery,"PETIT, Charles FrÇdÇric",FRA,France,Men,"au chapelet, 33m",Men,Bronze
Paris,France,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Belgium,Men,"au chapelet, 33m",Men,Gold
Paris,France,1900,Archery,Archery,"THIBAUD, Victor",FRA,France,Men,"au chapelet, 33m",Men,Silver
Paris,France,1900,Archery,Archery,"MERCIER, Emile",FRA,France,Men,"au chapelet, 50m",Men,Bronze
Paris,France,1900,Archery,Archery,"MOUGIN, Eugäne",FRA,France,Men,"au chapelet, 50m",Men,Gold
Paris,France,1900,Archery,Archery,"HELLE, Henri",FRA,France,Men,"au chapelet, 50m",Men,Silver
Paris,France,1900,Archery,Archery,"PETIT, Charles FrÇdÇric",FRA,France,Men,"au cordon dorÇ, 33m",Men,Bronze
Paris,France,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Belgium,Men,"au cordon dorÇ, 33m",Men,Gold
Paris,France,1900,Archery,Archery,"THIBAUD, Victor",FRA,France,Men,"au cordon dorÇ, 33m",Men,Silver
Paris,France,1900,Archery,Archery,"FISSEUX, Emile",FRA,France,Men,"au cordon dorÇ, 50m",Men,Bronze
Paris,France,1900,Archery,Archery,"HEROUIN, Henri",FRA,France,Men,"au cordon dorÇ, 50m",Men,Gold
Paris,France,1900,Archery,Archery,"VAN INNIS, Hubert",BEL,Belgium,Men,"au cordon dorÇ, 50m",Men,Silver
Paris,France,1900,Archery,Archery,"FOULON, Emmanuel",BEL,Belgium,Men,sur la perche Ö la herse,Men,Gold
Paris,France,1900,Archery,Archery,"DRUART, Jr.",BEL,Belgium,Men,sur la perche Ö la herse,Men,Silver
Paris,France,1900,Archery,Archery,"SERRURIER, Auguste",FRA,France,Men,sur la perche Ö la herse,Men,Silver
Paris,France,1900,Archery,Archery,"GLINEUX, Louis",BEL,Belgium,Men,sur la perche Ö la pyramide,Men,Bronze
